probe,group,condition,amplitude,frequency,n_trials,n_channels,slope_on,slope_off,residual_above_1f_on,residual_above_1f_off,itpc,itpc_ci_low,itpc_ci_high,itpc_null_floor,rayleigh_p05,itpc_above_floor,peak_above_1f
dHPC (A 0-31),A_dHPC_0-31,amp100_freq5,100,5,200,32,-1.9222,-1.9443,-0.2542,-0.2753,0.0488,0.058,0.1063,0.0626,0.1224,False,False
dHPC (A 0-31),A_dHPC_0-31,amp180_freq5,180,5,200,32,-1.9411,-1.917,-0.2562,-0.2439,0.0605,0.062,0.1128,0.0626,0.1224,False,False
dHPC (A 0-31),A_dHPC_0-31,amp250_freq5,250,5,200,32,-1.9183,-1.9263,-0.2487,-0.2332,0.0475,0.058,0.1046,0.0626,0.1224,False,False
dHPC (A 0-31),A_dHPC_0-31,amp100_freq10,100,10,200,32,-1.8231,-1.8226,0.0033,0.0035,0.08,0.0744,0.1371,0.0626,0.1224,True,False
dHPC (A 0-31),A_dHPC_0-31,amp180_freq10,180,10,200,32,-1.8119,-1.82,0.0295,0.0091,0.0783,0.0799,0.128,0.0626,0.1224,True,False
dHPC (A 0-31),A_dHPC_0-31,amp250_freq10,250,10,200,32,-1.8175,-1.8104,-0.0372,-0.0154,0.0641,0.0633,0.117,0.0626,0.1224,True,False
dHPC (A 0-31),A_dHPC_0-31,amp100_freq26,100,26,200,32,-1.8131,-1.8162,0.006,0.0051,0.0692,0.07,0.1193,0.0626,0.1224,True,False
dHPC (A 0-31),A_dHPC_0-31,amp180_freq26,180,26,200,32,-1.7927,-1.8124,0.02,-0.0038,0.0657,0.0662,0.1175,0.0626,0.1224,True,False
dHPC (A 0-31),A_dHPC_0-31,amp250_freq26,250,26,200,32,-1.7845,-1.8157,0.0529,-0.0006,0.0642,0.0662,0.1164,0.0626,0.1224,True,True
dHPC (A 0-31),A_dHPC_0-31,amp100_freq50,100,50,200,32,-1.7878,-1.8063,0.1468,0.11,0.0737,0.0702,0.126,0.0626,0.1224,True,True
dHPC (A 0-31),A_dHPC_0-31,amp180_freq50,180,50,200,32,-1.7515,-1.7869,0.182,0.1578,0.0671,0.0676,0.1186,0.0626,0.1224,True,True
dHPC (A 0-31),A_dHPC_0-31,amp250_freq50,250,50,200,32,-1.711,-1.7661,0.1795,0.1544,0.0543,0.059,0.1099,0.0626,0.1224,False,True
LEC (B 192-255),B_LEC_192-255,amp100_freq5,100,5,200,32,-1.367,-1.3714,-0.0111,-0.044,0.0868,0.0749,0.1302,0.0626,0.1224,True,False
LEC (B 192-255),B_LEC_192-255,amp180_freq5,180,5,200,32,-1.3882,-1.373,-0.05,-0.0135,0.0692,0.0689,0.1203,0.0626,0.1224,True,False
LEC (B 192-255),B_LEC_192-255,amp250_freq5,250,5,200,32,-1.3789,-1.3727,-0.023,-0.0328,0.0808,0.0769,0.1309,0.0626,0.1224,True,False
LEC (B 192-255),B_LEC_192-255,amp100_freq10,100,10,200,32,-1.401,-1.4111,-0.2584,-0.2585,0.0634,0.0659,0.1183,0.0626,0.1224,True,False
LEC (B 192-255),B_LEC_192-255,amp180_freq10,180,10,200,32,-1.4143,-1.4152,-0.2257,-0.2375,0.0469,0.0569,0.1005,0.0626,0.1224,False,False
LEC (B 192-255),B_LEC_192-255,amp250_freq10,250,10,200,32,-1.4276,-1.4222,-0.2772,-0.2449,0.0589,0.0638,0.1111,0.0626,0.1224,False,False
LEC (B 192-255),B_LEC_192-255,amp100_freq26,100,26,200,32,-1.3188,-1.319,-0.1747,-0.1645,0.0757,0.0755,0.123,0.0626,0.1224,True,False
LEC (B 192-255),B_LEC_192-255,amp180_freq26,180,26,200,32,-1.3187,-1.3285,-0.1313,-0.163,0.0618,0.0624,0.1125,0.0626,0.1224,False,False
LEC (B 192-255),B_LEC_192-255,amp250_freq26,250,26,200,32,-1.3047,-1.3279,-0.1002,-0.146,0.0537,0.0567,0.1061,0.0626,0.1224,False,False
LEC (B 192-255),B_LEC_192-255,amp100_freq50,100,50,200,32,-1.2892,-1.3153,0.3538,0.2591,0.0522,0.0595,0.106,0.0626,0.1224,False,True
LEC (B 192-255),B_LEC_192-255,amp180_freq50,180,50,200,32,-1.2716,-1.3008,0.4753,0.2892,0.0688,0.0676,0.1204,0.0626,0.1224,True,True
LEC (B 192-255),B_LEC_192-255,amp250_freq50,250,50,200,32,-1.2697,-1.3103,0.6375,0.2784,0.0804,0.0748,0.1297,0.0626,0.1224,True,True
