cluster_id,KSLabel,ContamPct,Amplitude,is_ks_good
0,good,5.9,10.1,True
1,mua,76.1,9.7,False
2,mua,95.6,9.7,False
3,mua,108.3,9.4,False
4,mua,177.8,9.3,False
5,mua,145.0,11.5,False
6,mua,65.5,9.9,False
7,mua,82.7,10.0,False
8,mua,118.7,10.3,False
9,mua,134.3,10.4,False
10,mua,70.8,10.5,False
11,mua,38.0,9.6,False
12,mua,122.3,10.9,False
13,mua,59.3,9.5,False
14,mua,88.6,9.6,False
15,mua,133.9,9.2,False
16,mua,86.7,9.4,False
17,mua,176.6,9.7,False
18,mua,134.1,9.5,False
19,mua,151.1,9.7,False
20,mua,58.3,9.9,False
21,mua,164.4,9.1,False
22,mua,71.8,10.0,False
23,mua,220.0,9.1,False
24,mua,188.3,9.6,False
25,mua,106.4,10.9,False
26,mua,125.5,12.1,False
27,mua,98.3,12.5,False
28,mua,62.0,9.7,False
29,mua,190.7,9.9,False
30,mua,82.1,9.7,False
31,mua,177.4,9.3,False
32,mua,217.0,9.2,False
33,mua,244.7,9.9,False
34,mua,118.1,12.0,False
35,mua,115.5,11.9,False
36,mua,62.0,11.7,False
37,mua,97.9,9.3,False
38,mua,249.8,9.8,False
39,mua,160.6,9.3,False
40,mua,173.7,9.2,False
41,mua,85.6,9.6,False
42,mua,205.5,10.3,False
43,mua,123.4,13.7,False
44,mua,120.1,12.5,False
45,good,0.0,61.4,True
46,good,0.0,42.4,True
47,good,0.0,60.0,True
48,mua,30.7,11.8,False
49,mua,143.5,9.6,False
50,mua,239.6,9.3,False
51,mua,156.2,28.6,False
52,mua,108.5,9.6,False
53,mua,307.5,10.2,False
54,mua,112.9,11.8,False
55,mua,110.7,12.1,False
56,mua,115.3,10.1,False
57,mua,199.7,9.8,False
58,mua,279.5,9.2,False
59,mua,37.2,11.2,False
60,mua,124.1,9.7,False
61,mua,327.4,11.2,False
62,mua,268.1,9.5,False
63,mua,55.6,13.8,False
64,mua,123.8,9.7,False
65,mua,116.3,9.8,False
66,mua,31.0,12.1,False
67,mua,149.2,10.7,False
68,mua,103.1,12.3,False
69,mua,111.3,9.3,False
70,mua,105.0,11.0,False
71,mua,95.1,11.3,False
72,mua,208.4,9.2,False
73,good,0.0,31.9,True
74,mua,300.1,10.1,False
75,mua,69.1,9.5,False
76,mua,114.9,10.5,False
77,mua,195.4,9.5,False
78,good,2.3,46.7,True
79,mua,100.2,12.5,False
80,mua,253.6,8.5,False
81,mua,88.5,9.6,False
82,good,1.8,8.9,True
83,mua,40.9,10.4,False
84,mua,240.0,10.5,False
85,mua,150.5,10.0,False
86,good,10.0,14.6,True
87,good,11.2,11.5,True
88,mua,104.2,12.6,False
89,mua,230.7,9.4,False
90,good,4.2,17.0,True
91,mua,313.4,10.4,False
92,mua,177.6,9.9,False
93,mua,220.2,9.9,False
94,mua,140.7,10.2,False
95,mua,106.1,11.9,False
96,mua,74.5,11.2,False
97,mua,102.3,12.4,False
98,mua,110.1,11.5,False
99,mua,199.7,7.1,False
100,mua,159.4,9.3,False
101,mua,111.8,11.1,False
102,mua,56.8,9.5,False
103,mua,127.0,10.2,False
104,good,16.0,17.2,True
105,mua,88.6,11.5,False
106,mua,117.3,14.6,False
107,mua,184.3,7.8,False
108,good,0.0,42.5,True
109,good,0.0,16.3,True
110,mua,130.7,10.0,False
111,mua,165.2,9.5,False
112,good,14.7,37.1,True
113,good,0.2,25.5,True
114,mua,109.5,10.4,False
115,mua,140.9,12.6,False
116,mua,115.4,9.6,False
117,mua,55.2,17.7,False
118,mua,184.0,9.0,False
119,mua,156.0,10.0,False
120,mua,53.8,10.0,False
121,mua,145.0,9.4,False
122,mua,267.6,8.9,False
123,mua,74.4,10.2,False
124,mua,123.0,10.3,False
125,mua,23.1,12.2,False
126,good,0.2,29.2,True
127,mua,33.8,10.6,False
128,mua,65.4,18.7,False
129,mua,25.7,12.5,False
130,good,0.0,37.6,True
131,good,12.9,40.9,True
132,mua,55.9,17.6,False
133,mua,48.7,25.0,False
134,mua,63.2,22.9,False
135,good,18.0,13.2,True
136,mua,71.1,10.2,False
137,good,3.9,23.1,True
138,mua,96.1,12.0,False
139,mua,23.2,9.9,False
140,mua,96.4,14.2,False
141,mua,94.5,13.7,False
142,mua,163.5,9.8,False
143,mua,151.0,9.5,False
144,mua,61.3,9.4,False
145,mua,117.4,10.0,False
146,mua,60.8,9.4,False
147,mua,103.7,9.7,False
148,mua,112.0,9.7,False
149,good,6.0,13.3,True
150,mua,45.8,13.3,False
151,mua,93.1,11.0,False
152,mua,77.1,9.7,False
153,mua,65.4,9.4,False
154,mua,69.6,11.4,False
155,mua,139.0,10.2,False
156,mua,173.6,9.1,False
157,mua,83.1,9.7,False
158,mua,118.8,9.6,False
159,mua,111.8,10.4,False
160,mua,113.8,11.6,False
