unit_set,condition,n_units,mean_unit_delta_hz,sem_unit_delta_hz,median_unit_delta_hz,n_units_on_gt_off,n_units_on_lt_off,n_responsive_q05
all_units,amp100_freq10,161,-0.17778467908902695,0.01828595171453853,-0.1349999999999999,26,135,3
all_units,amp100_freq26,161,-0.04195652173913043,0.01992388988849253,-0.031666666666666676,64,97,0
all_units,amp100_freq5,161,0.03959627329192548,0.018551361984681797,0.008333333333333333,85,75,0
all_units,amp100_freq50,161,-0.05321946169772257,0.05438754560106432,-0.09333333333333335,48,112,39
all_units,amp180_freq10,161,-0.02092132505175985,0.015550083690802404,-0.00833333333333333,72,89,2
all_units,amp180_freq26,161,0.13321946169772259,0.05533052490952168,-0.013333333333333357,74,87,12
all_units,amp180_freq5,161,0.2136128364389234,0.03821930119212992,0.07500000000000004,119,41,0
all_units,amp180_freq50,161,-0.13903726708074537,0.07542585653683323,-0.17666666666666667,39,122,64
all_units,amp250_freq10,161,0.26247412008281573,0.03966079134243465,0.11000000000000001,130,31,2
all_units,amp250_freq26,161,-0.2211904761904762,0.053345047619631644,-0.19499999999999995,40,121,59
all_units,amp250_freq5,161,0.11925465838509317,0.034606925589948004,0.01833333333333333,89,72,2
all_units,amp250_freq50,161,0.4864596273291925,0.14894601941875113,-0.014999999999999998,78,83,87
ks_good_units,amp100_freq10,21,-0.09603174603174602,0.0540398975907621,-0.016666666666666666,8,13,0
ks_good_units,amp100_freq26,21,-0.08341269841269841,0.03818648133851666,-0.02,8,13,0
ks_good_units,amp100_freq5,21,-0.013492063492063486,0.021999249855508468,-0.0033333333333333314,10,11,0
ks_good_units,amp100_freq50,21,-0.1442063492063492,0.07768259076548162,-0.008333333333333333,8,12,1
ks_good_units,amp180_freq10,21,-0.0449206349206349,0.029569771358279078,-0.028333333333333332,7,14,0
ks_good_units,amp180_freq26,21,0.06523809523809523,0.04390063421012729,0.016666666666666663,15,6,1
ks_good_units,amp180_freq5,21,0.1514285714285714,0.05107006880196698,0.06999999999999997,14,7,0
ks_good_units,amp180_freq50,21,-0.014047619047619041,0.10015018955864187,-0.03333333333333333,4,17,3
ks_good_units,amp250_freq10,21,0.211984126984127,0.08484530110546783,0.025,17,4,0
ks_good_units,amp250_freq26,21,-0.22380952380952382,0.1071427336859959,-0.028333333333333332,6,15,2
ks_good_units,amp250_freq5,21,0.08325396825396825,0.03871266356090529,0.02666666666666666,13,8,1
ks_good_units,amp250_freq50,21,0.6392857142857142,0.28612882295528136,-0.015,9,12,11
