cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
0,amp100_freq10,200,5.126666666666668,5.155,-0.02833333333333332,0.1372087036745207,0.0,-0.20649807610269513,0.8366129903569324,0.9364636717089184,good,5.9,10.1,True,ON<OFF,False
1,amp100_freq10,200,2.8433333333333333,3.043333333333333,-0.19999999999999996,0.15462351387841838,0.0,-1.2934643314163814,0.1973499015717205,0.4808070741949104,mua,76.1,9.7,False,ON<OFF,False
2,amp100_freq10,200,4.965,5.366666666666666,-0.4016666666666667,0.17698854246891463,-0.3333333333333335,-2.2694501071289035,0.024313220800385678,0.13369324694409682,mua,95.6,9.7,False,ON<OFF,False
3,amp100_freq10,200,1.2316666666666667,1.1833333333333333,0.048333333333333374,0.07436301245539031,0.0,0.6499647033843349,0.5164646166293656,0.7772498229408552,mua,108.3,9.4,False,ON>OFF,False
4,amp100_freq10,200,0.9,0.91,-0.01,0.05892722328240512,0.0,-0.16970085205059826,0.8654177921945599,0.9484743249575209,mua,177.8,9.3,False,ON<OFF,False
5,amp100_freq10,200,1.2783333333333333,1.6933333333333334,-0.41499999999999987,0.49384541251011577,0.0,-0.8403439406081334,0.4017240921169312,0.7030171612046295,mua,145.0,11.5,False,ON<OFF,False
6,amp100_freq10,200,3.8466666666666662,4.261666666666667,-0.415,0.14975314696234476,-0.3333333333333335,-2.7712272390799986,0.0061140722556434005,0.044914021284802465,mua,65.5,9.9,False,ON<OFF,True
7,amp100_freq10,200,4.808333333333334,5.028333333333333,-0.21999999999999997,0.20932264266569836,0.0,-1.051009089118725,0.29452902930069935,0.5964675939297182,mua,82.7,10.0,False,ON<OFF,False
8,amp100_freq10,200,7.256666666666666,7.183333333333333,0.07333333333333332,0.2697597003335835,0.33333333333333304,0.27184688166041737,0.7860215797926425,0.9125474860207154,mua,118.7,10.3,False,ON>OFF,False
9,amp100_freq10,200,5.851666666666667,5.895,-0.043333333333333404,0.18375252821332996,0.0,-0.23582441969465034,0.8138114443749528,0.9281485894524255,mua,134.3,10.4,False,ON<OFF,False
10,amp100_freq10,200,0.008333333333333333,0.0,0.008333333333333333,0.004381003100094476,0.0,1.9021518914592017,0.058595507278214366,0.24609488751716457,mua,70.8,10.5,False,ON>OFF,False
11,amp100_freq10,200,18.085,18.046666666666667,0.03833333333333329,0.4374190680507203,-0.6666666666666652,0.08763525903010795,0.9302546994139297,0.9698993920945802,mua,38.0,9.6,False,ON>OFF,False
12,amp100_freq10,200,6.761666666666667,6.7683333333333335,-0.006666666666666678,0.24656161464377496,0.0,-0.027038542379350022,0.9784560881995361,0.9933668746198128,mua,122.3,10.9,False,ON<OFF,False
13,amp100_freq10,200,2.0633333333333335,2.2366666666666664,-0.1733333333333333,0.11070456052406494,0.0,-1.565728932148682,0.11900087614425836,0.37334988387174034,mua,59.3,9.5,False,ON<OFF,False
14,amp100_freq10,200,2.8216666666666663,2.83,-0.008333333333333366,0.1290872804080599,0.0,-0.06455580524270657,0.9485924755335404,0.9813214784244347,mua,88.6,9.6,False,ON<OFF,False
15,amp100_freq10,200,1.06,1.113333333333333,-0.05333333333333334,0.07962222360913007,0.0,-0.6698297399373024,0.5037428153587957,0.7736336401217754,mua,133.9,9.2,False,ON<OFF,False
16,amp100_freq10,200,1.4183333333333332,1.55,-0.13166666666666668,0.09486825623630751,0.0,-1.3878896049137652,0.16672262097176627,0.43469379718954443,mua,86.7,9.4,False,ON<OFF,False
17,amp100_freq10,200,2.851666666666666,3.085,-0.23333333333333336,0.11513107622380303,-0.33333333333333326,-2.0266755161721695,0.04402991698485843,0.20597045911560896,mua,176.6,9.7,False,ON<OFF,False
18,amp100_freq10,200,0.9933333333333334,1.0666666666666667,-0.07333333333333335,0.09941649975906383,0.0,-0.7376374496291549,0.4616036810972586,0.7532249255742429,mua,134.1,9.5,False,ON<OFF,False
19,amp100_freq10,200,2.255,2.3466666666666667,-0.09166666666666666,0.11578242316620367,0.0,-0.7917148748483243,0.4294696312976478,0.7265228477790672,mua,151.1,9.7,False,ON<OFF,False
20,amp100_freq10,200,2.338333333333333,2.4999999999999996,-0.16166666666666665,0.13226070856724267,0.0,-1.222333287171781,0.22302740047222278,0.5160346559429154,mua,58.3,9.9,False,ON<OFF,False
21,amp100_freq10,200,0.7733333333333334,0.8866666666666667,-0.11333333333333336,0.06267087194985221,0.0,-1.8083892852810486,0.07205553657222533,0.2790065880685295,mua,164.4,9.1,False,ON<OFF,False
22,amp100_freq10,200,2.2116666666666664,2.2116666666666664,3.552713678800501e-17,0.10974311408365091,0.0,3.2372998601921124e-16,0.9999999999999998,1.0,mua,71.8,10.0,False,ON>OFF,False
23,amp100_freq10,200,0.69,0.775,-0.085,0.06075081597428168,0.0,-1.3991581616942232,0.16332229745835783,0.4306543598270718,mua,220.0,9.1,False,ON<OFF,False
24,amp100_freq10,200,2.3216666666666668,2.518333333333333,-0.19666666666666668,0.12966455885262387,0.0,-1.5167341670455772,0.13092073103798674,0.383822234241867,mua,188.3,9.6,False,ON<OFF,False
25,amp100_freq10,200,2.6966666666666668,2.826666666666666,-0.12999999999999998,0.11582708188425729,0.0,-1.1223627314543354,0.2630605969361747,0.559728054273887,mua,106.4,10.9,False,ON<OFF,False
26,amp100_freq10,200,2.2883333333333336,2.7216666666666667,-0.43333333333333324,0.6612510350262472,0.0,-0.6553234859074858,0.5130163389865745,0.777233679231289,mua,125.5,12.1,False,ON<OFF,False
27,amp100_freq10,200,2.7166666666666663,2.956666666666666,-0.24000000000000032,0.7240317664877042,0.0,-0.33147716869419447,0.7406329002852352,0.8974717394952166,mua,98.3,12.5,False,ON<OFF,False
28,amp100_freq10,200,1.96,2.175,-0.215,0.1352644389829714,-0.33333333333333326,-1.5894791093397913,0.11353970672265055,0.3674914666966424,mua,62.0,9.7,False,ON<OFF,False
29,amp100_freq10,200,3.2566666666666664,3.65,-0.39333333333333337,0.16119597680124265,-0.3333333333333333,-2.440093984593177,0.015559020032469548,0.09512666678079483,mua,190.7,9.9,False,ON<OFF,False
30,amp100_freq10,200,2.0233333333333334,2.223333333333333,-0.19999999999999996,0.1299185846506673,-0.33333333333333326,-1.5394256375080722,0.12528898331628743,0.38059483611174105,mua,82.1,9.7,False,ON<OFF,False
31,amp100_freq10,200,0.7183333333333334,0.8483333333333334,-0.13,0.08320056425097504,0.0,-1.562489403411426,0.11976159656603606,0.37387630446940556,mua,177.4,9.3,False,ON<OFF,False
32,amp100_freq10,200,0.725,0.7866666666666666,-0.061666666666666696,0.0658271046392945,0.0,-0.9367974940501288,0.34999823066031854,0.6509747102012564,mua,217.0,9.2,False,ON<OFF,False
33,amp100_freq10,200,2.953333333333333,3.115,-0.16166666666666665,0.159790788331913,-0.33333333333333326,-1.011739589962202,0.31289114509468086,0.6136422537467072,mua,244.7,9.9,False,ON<OFF,False
