cluster_id,KSLabel,ContamPct,Amplitude,is_ks_good
0,mua,116.4,11.7,False
1,mua,113.9,12.2,False
2,mua,219.7,35.8,False
3,mua,163.5,9.9,False
4,mua,156.9,10.2,False
5,mua,132.6,12.2,False
6,mua,146.3,10.0,False
7,mua,106.3,9.9,False
8,mua,145.5,11.5,False
9,mua,105.0,10.7,False
10,mua,98.7,11.3,False
11,mua,100.1,10.6,False
12,mua,159.1,11.5,False
13,mua,45.5,11.3,False
14,mua,139.4,10.4,False
15,mua,128.1,10.5,False
16,mua,168.4,9.4,False
17,mua,122.9,9.4,False
18,mua,157.4,10.3,False
19,mua,144.6,9.1,False
20,mua,154.2,9.1,False
21,mua,130.7,10.3,False
22,mua,110.0,12.2,False
23,mua,158.3,10.6,False
24,mua,68.3,9.9,False
25,mua,149.7,10.5,False
26,mua,142.6,11.3,False
27,mua,178.2,10.9,False
28,mua,92.8,9.6,False
29,mua,153.2,11.1,False
30,mua,157.5,9.7,False
31,mua,147.7,11.1,False
32,mua,138.1,10.4,False
33,mua,139.1,10.7,False
34,mua,114.9,10.2,False
35,mua,140.5,10.3,False
36,mua,156.8,10.3,False
37,mua,154.7,10.2,False
38,good,0.2,9.5,True
39,mua,125.1,13.0,False
40,mua,86.7,12.4,False
41,mua,134.8,10.3,False
42,mua,135.4,10.3,False
43,mua,154.4,11.6,False
44,mua,135.4,10.3,False
45,mua,113.2,10.3,False
46,mua,125.4,10.7,False
47,mua,102.5,10.4,False
48,mua,165.8,10.8,False
49,mua,162.2,11.0,False
50,mua,110.3,9.6,False
51,mua,163.9,11.0,False
52,mua,115.3,10.6,False
53,mua,160.8,10.0,False
54,mua,143.0,10.1,False
55,mua,106.2,11.6,False
56,mua,100.7,10.6,False
57,mua,159.7,10.7,False
58,mua,146.2,10.6,False
59,mua,159.2,10.5,False
60,mua,165.8,10.6,False
61,mua,149.1,10.6,False
62,mua,151.4,10.6,False
63,mua,159.8,11.8,False
64,mua,157.7,11.8,False
65,mua,155.0,10.3,False
66,mua,155.1,10.3,False
67,mua,144.3,9.4,False
68,mua,154.4,9.5,False
69,good,19.3,11.5,True
70,mua,128.5,11.0,False
71,good,3.2,21.8,True
72,mua,24.3,13.1,False
73,good,6.2,15.2,True
74,good,0.0,18.3,True
75,mua,29.8,10.2,False
76,good,1.8,22.3,True
77,good,0.0,28.9,True
78,mua,118.5,11.9,False
79,mua,99.2,12.9,False
80,mua,24.2,9.9,False
81,mua,29.4,11.3,False
82,good,2.4,12.5,True
83,mua,46.9,11.2,False
84,mua,126.8,12.8,False
85,good,16.2,10.9,True
86,mua,75.8,10.2,False
87,good,15.9,12.4,True
88,good,0.0,21.4,True
89,mua,30.6,11.1,False
90,mua,134.1,10.8,False
91,good,0.0,17.6,True
92,mua,125.3,11.3,False
93,mua,85.0,11.2,False
94,mua,40.6,11.3,False
95,mua,71.0,12.9,False
96,mua,143.5,10.1,False
97,mua,100.6,10.2,False
98,mua,143.3,10.9,False
99,mua,152.5,10.9,False
100,mua,46.8,8.9,False
101,mua,86.7,9.0,False
