cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
0,amp100_freq10,200,0.11333333333333333,0.14666666666666667,-0.03333333333333333,0.0470811931592867,0.0,-0.7079967837807096,0.47977567079684047,0.7331403508805652,mua,116.4,11.7,False,ON<OFF,False
1,amp100_freq10,200,2.2316666666666665,2.483333333333333,-0.2516666666666667,0.6992518036221204,0.0,-0.35990849843080097,0.7192972299379935,0.8657028608103285,mua,113.9,12.2,False,ON<OFF,False
2,amp100_freq10,200,0.05333333333333334,0.11000000000000001,-0.05666666666666668,0.0901673486011918,0.0,-0.6284610509875598,0.5304225937018284,0.7654050339089937,mua,219.7,35.8,False,ON<OFF,False
3,amp100_freq10,200,0.49666666666666665,0.395,0.10166666666666668,0.05764780241600499,0.0,1.7635826936299752,0.07933685341935391,0.28645518756722477,mua,163.5,9.9,False,ON>OFF,False
4,amp100_freq10,200,0.6633333333333334,0.72,-0.05666666666666668,0.09592798108184525,0.0,-0.590720934888841,0.55537770691381,0.7763284925059133,mua,156.9,10.2,False,ON<OFF,False
5,amp100_freq10,200,2.0933333333333333,2.06,0.033333333333333375,0.4922118176948859,0.0,0.06772152178190116,0.946075310579212,0.9772119663704266,mua,132.6,12.2,False,ON>OFF,False
6,amp100_freq10,200,1.13,1.0933333333333333,0.03666666666666667,0.13546845743286756,0.0,0.2706657133439135,0.7869286715527398,0.8985081100564865,mua,146.3,10.0,False,ON>OFF,False
7,amp100_freq10,200,1.3133333333333335,1.3116666666666665,0.0016666666666666785,0.1531631401981382,0.0,0.010881643354338446,0.9913287772701713,0.9937644745116213,mua,106.3,9.9,False,ON>OFF,False
8,amp100_freq10,200,2.6,2.4383333333333335,0.1616666666666667,0.3188825539187531,0.0,0.5069787126324168,0.6127310709871564,0.8046263649725452,mua,145.5,11.5,False,ON>OFF,False
9,amp100_freq10,200,0.59,0.765,-0.175,0.15589903352613518,0.0,-1.1225213911968397,0.26299333420107557,0.531095986424143,mua,105.0,10.7,False,ON<OFF,False
10,amp100_freq10,200,1.4366666666666665,1.6633333333333333,-0.2266666666666668,0.5019490765890041,0.0,-0.4515730324816625,0.6520683535211665,0.8276711447025287,mua,98.7,11.3,False,ON<OFF,False
11,amp100_freq10,200,1.998333333333333,2.1166666666666667,-0.11833333333333335,0.1413008381309352,0.0,-0.8374566980535587,0.4033405430110145,0.6735181782339451,mua,100.1,10.6,False,ON<OFF,False
12,amp100_freq10,200,2.5966666666666662,2.4016666666666664,0.19500000000000003,0.30776546919897857,0.33333333333333326,0.6335993459809728,0.5270698705339859,0.7625691743895966,mua,159.1,11.5,False,ON>OFF,False
13,amp100_freq10,200,7.205,7.518333333333333,-0.3133333333333333,0.3287256072265355,0.0,-0.9531759207228573,0.3416572858431223,0.6180378462679229,mua,45.5,11.3,False,ON<OFF,False
14,amp100_freq10,200,1.393333333333333,1.415,-0.021666666666666626,0.1497453170102463,0.0,-0.14469011184626285,0.8851019797648424,0.9422448020550859,mua,139.4,10.4,False,ON<OFF,False
15,amp100_freq10,200,1.3116666666666665,1.385,-0.07333333333333333,0.16865083578489498,0.0,-0.4348234207796399,0.6641617658323955,0.8327241958346071,mua,128.1,10.5,False,ON<OFF,False
16,amp100_freq10,200,0.5283333333333333,0.5616666666666666,-0.03333333333333332,0.06419192328537428,0.0,-0.5192761273898161,0.6041452440294862,0.8020322979306845,mua,168.4,9.4,False,ON<OFF,False
17,amp100_freq10,200,0.6116666666666667,0.6066666666666667,0.005000000000000007,0.06854463388311921,0.0,0.07294517042028259,0.9419230139866981,0.9772119663704266,mua,122.9,9.4,False,ON>OFF,False
18,amp100_freq10,200,0.8866666666666667,0.835,0.051666666666666666,0.12230563495484802,0.0,0.42243897172636913,0.6731607108329282,0.8373462500604716,mua,157.4,10.3,False,ON>OFF,False
19,amp100_freq10,200,0.7333333333333333,0.6616666666666666,0.07166666666666666,0.0876480163078572,0.0,0.8176644456497769,0.4145267305285576,0.6819633308695625,mua,144.6,9.1,False,ON>OFF,False
20,amp100_freq10,200,0.625,0.6283333333333333,-0.0033333333333333435,0.08467067612078892,0.0,-0.03936821442854784,0.9686362884430317,0.9847265922377665,mua,154.2,9.1,False,ON<OFF,False
21,amp100_freq10,200,0.9399999999999998,0.9216666666666665,0.018333333333333323,0.12269533702893201,0.0,0.14942159805967406,0.8813722925983934,0.9422448020550859,mua,130.7,10.3,False,ON>OFF,False
22,amp100_freq10,200,1.0116666666666665,1.155,-0.14333333333333328,0.30224832177841304,0.0,-0.47422375247600246,0.6358602829637702,0.8187707570867783,mua,110.0,12.2,False,ON<OFF,False
23,amp100_freq10,200,1.0466666666666666,1.0766666666666667,-0.03,0.13713569066782497,0.0,-0.21876143149828942,0.8270600860787739,0.9210565342433719,mua,158.3,10.6,False,ON<OFF,False
24,amp100_freq10,200,5.7716666666666665,5.993333333333334,-0.22166666666666665,0.3618711646569286,0.0,-0.6125568664107774,0.5408687283188869,0.7706907141586933,mua,68.3,9.9,False,ON<OFF,False
25,amp100_freq10,200,1.0033333333333332,0.97,0.03333333333333335,0.13629458685274384,0.0,0.24456828479437367,0.8070427123343568,0.9098446158133727,mua,149.7,10.5,False,ON>OFF,False
26,amp100_freq10,200,0.7566666666666667,0.835,-0.07833333333333332,0.15700607413202053,0.0,-0.498919126322882,0.6183874216344275,0.8095253519577961,mua,142.6,11.3,False,ON<OFF,False
27,amp100_freq10,200,0.8316666666666666,0.9333333333333332,-0.1016666666666667,0.14879372589031303,0.0,-0.6832725375908174,0.49522938347781215,0.7446692449346954,mua,178.2,10.9,False,ON<OFF,False
28,amp100_freq10,200,0.3,0.3416666666666666,-0.04166666666666666,0.03614116346023012,0.0,-1.1528866997465874,0.25033983672307003,0.5193490849983691,mua,92.8,9.6,False,ON<OFF,False
29,amp100_freq10,200,1.6016666666666666,1.5733333333333337,0.028333333333333356,0.21981385836272518,0.0,0.1288969382748343,0.8975693781935626,0.950367576910831,mua,153.2,11.1,False,ON>OFF,False
30,amp100_freq10,200,0.31,0.27833333333333327,0.03166666666666666,0.03836390886068454,0.0,0.8254285761563459,0.41011673024041223,0.6785172883991356,mua,157.5,9.7,False,ON>OFF,False
31,amp100_freq10,200,1.771666666666667,1.6616666666666668,0.10999999999999996,0.23215916583303434,0.0,0.473812867156451,0.636152769599286,0.8187707570867783,mua,147.7,11.1,False,ON>OFF,False
32,amp100_freq10,200,2.9066666666666663,3.3033333333333332,-0.39666666666666667,0.5547842272497812,0.0,-0.7149926893795323,0.47545152271451196,0.7320159293113995,mua,138.1,10.4,False,ON<OFF,False
33,amp100_freq10,200,3.4866666666666664,3.615,-0.12833333333333322,0.5813434713782604,0.0,-0.22075303095617138,0.825511061760031,0.9210565342433719,mua,139.1,10.7,False,ON<OFF,False
34,amp100_freq10,200,1.0366666666666666,1.03,0.006666666666666683,0.12321217281984874,0.0,0.05410720803060721,0.9569040296105119,0.983417743277302,mua,114.9,10.2,False,ON>OFF,False
35,amp100_freq10,200,1.1066666666666665,1.075,0.03166666666666665,0.14662778340980162,0.0,0.21596634641992296,0.8292351872569836,0.9210565342433719,mua,140.5,10.3,False,ON>OFF,False
36,amp100_freq10,200,1.396666666666667,1.353333333333333,0.043333333333333314,0.18158231871558536,0.0,0.23864291215053185,0.8116280583477621,0.9130815656412324,mua,156.8,10.3,False,ON>OFF,False
37,amp100_freq10,200,1.3183333333333331,1.2599999999999998,0.05833333333333333,0.16685813959559198,0.0,0.34959836825889173,0.7270098210130117,0.8713707690399203,mua,154.7,10.2,False,ON>OFF,False
38,amp100_freq10,200,1.613333333333333,1.5433333333333334,0.06999999999999998,0.14184691459579293,0.0,0.49348976112361725,0.6222107528240298,0.8110606618281283,good,0.2,9.5,True,ON>OFF,False
39,amp100_freq10,200,3.56,3.493333333333333,0.06666666666666657,0.6189678193269561,0.16666666666666663,0.10770619180033879,0.9143372705404677,0.9622947714028653,mua,125.1,13.0,False,ON>OFF,False
40,amp100_freq10,200,5.543333333333334,5.875,-0.33166666666666667,1.0801376587310736,0.3333333333333333,-0.30705962706300116,0.7591190657363918,0.8812392815876976,mua,86.7,12.4,False,ON<OFF,False
41,amp100_freq10,200,1.2116666666666667,1.2033333333333334,0.00833333333333337,0.16392106167663403,0.0,0.05083747779630955,0.9595060177643583,0.9844786132365585,mua,134.8,10.3,False,ON>OFF,False
42,amp100_freq10,200,1.205,1.1416666666666666,0.06333333333333335,0.14543855395317662,0.0,0.4354645423229613,0.6636972174307644,0.8327241958346071,mua,135.4,10.3,False,ON>OFF,False
43,amp100_freq10,200,1.685,1.7733333333333334,-0.08833333333333321,0.42220921657068383,0.0,-0.20921697079662152,0.8344928783148893,0.9210565342433719,mua,154.4,11.6,False,ON<OFF,False
44,amp100_freq10,200,1.1133333333333333,1.065,0.04833333333333332,0.14973263907683404,0.0,0.3227975786129801,0.7471874537628934,0.8766954003174695,mua,135.4,10.3,False,ON>OFF,False
45,amp100_freq10,200,1.0633333333333332,1.0333333333333332,0.030000000000000044,0.142643738667018,0.0,0.21031417348104486,0.8336376550028057,0.9210565342433719,mua,113.2,10.3,False,ON>OFF,False
46,amp100_freq10,200,2.243333333333333,2.356666666666667,-0.1133333333333334,0.446860379505317,0.0,-0.25362135139122327,0.8000499367779431,0.9062795574263408,mua,125.4,10.7,False,ON<OFF,False
47,amp100_freq10,200,3.9083333333333337,4.133333333333333,-0.22499999999999998,0.735818605432414,0.0,-0.30578188474559653,0.7600903611596407,0.8812392815876976,mua,102.5,10.4,False,ON<OFF,False
48,amp100_freq10,200,1.1116666666666666,1.095,0.016666666666666677,0.1273303164682471,0.0,0.13089315356270959,0.8959920587632719,0.9496922066993622,mua,165.8,10.8,False,ON>OFF,False
49,amp100_freq10,200,2.185,2.033333333333333,0.15166666666666656,0.25581781690079,0.0,0.5928698341034049,0.5539414048430872,0.7757714868740717,mua,162.2,11.0,False,ON>OFF,False
50,amp100_freq10,200,0.26833333333333337,0.2866666666666666,-0.018333333333333337,0.04797388434352738,0.0,-0.38215236444173534,0.7027561483333503,0.8556585163455496,mua,110.3,9.6,False,ON<OFF,False
51,amp100_freq10,200,1.2466666666666666,1.1883333333333335,0.058333333333333307,0.15448691216459326,0.0,0.3775940143795733,0.7061346227297735,0.8556585163455496,mua,163.9,11.0,False,ON>OFF,False
52,amp100_freq10,200,0.13666666666666663,0.14833333333333334,-0.011666666666666669,0.04189651844672118,0.0,-0.27846387001112977,0.7809454314110307,0.894178866274183,mua,115.3,10.6,False,ON<OFF,False
53,amp100_freq10,200,0.5716666666666665,0.5566666666666668,0.015000000000000005,0.0708604490418618,0.0,0.21168367125557647,0.8325704674316852,0.9210565342433719,mua,160.8,10.0,False,ON>OFF,False
54,amp100_freq10,200,0.7866666666666666,0.7416666666666667,0.044999999999999984,0.10145995956411345,0.0,0.4435247184537274,0.6578680767714681,0.8276711447025287,mua,143.0,10.1,False,ON>OFF,False
55,amp100_freq10,200,4.245,4.466666666666666,-0.22166666666666665,1.0196842043521357,0.0,-0.21738756540560938,0.8281290460112339,0.9210565342433719,mua,106.2,11.6,False,ON<OFF,False
56,amp100_freq10,200,4.966666666666666,5.461666666666668,-0.49499999999999994,1.1107991738286664,0.0,-0.44562510637620484,0.6563524886850041,0.8276711447025287,mua,100.7,10.6,False,ON<OFF,False
57,amp100_freq10,200,0.855,0.81,0.044999999999999964,0.13636989267072117,0.0,0.3299848604314517,0.7417585103252978,0.8746747751812761,mua,159.7,10.7,False,ON>OFF,False
58,amp100_freq10,200,0.9216666666666667,0.855,0.06666666666666671,0.14236574974398689,0.0,0.4682774247777423,0.6400987037423822,0.8222837516448092,mua,146.2,10.6,False,ON>OFF,False
59,amp100_freq10,200,0.7383333333333333,0.8233333333333335,-0.085,0.10724709906025316,0.0,-0.7925622300724949,0.4289767590002212,0.6923531118754596,mua,159.2,10.5,False,ON<OFF,False
60,amp100_freq10,200,0.8866666666666666,0.7683333333333333,0.11833333333333335,0.1044754385151425,0.0,1.1326426097381952,0.258727213592325,0.5266409606367901,mua,165.8,10.6,False,ON>OFF,False
61,amp100_freq10,200,1.27,1.2266666666666668,0.043333333333333376,0.15885038559220352,0.0,0.27279337832126865,0.785294917921836,0.8974799061963841,mua,149.1,10.6,False,ON>OFF,False
62,amp100_freq10,200,1.2399999999999998,1.29,-0.04999999999999996,0.14380468639105276,0.0,-0.3476938148179214,0.7284376227175756,0.8715077066216984,mua,151.4,10.6,False,ON<OFF,False
63,amp100_freq10,200,2.693333333333334,2.576666666666666,0.11666666666666671,0.30537480060447214,0.0,0.38204418450943445,0.7028362589809332,0.8556585163455496,mua,159.8,11.8,False,ON>OFF,False
64,amp100_freq10,200,2.753333333333333,2.65,0.10333333333333332,0.3229919280642162,0.33333333333333326,0.31992543576132004,0.7493604953154428,0.8766954003174695,mua,157.7,11.8,False,ON>OFF,False
65,amp100_freq10,200,1.33,1.2449999999999999,0.08500000000000003,0.16333346152526335,0.0,0.520407754824034,0.6033579043803631,0.8018567589159223,mua,155.0,10.3,False,ON>OFF,False
66,amp100_freq10,200,1.4916666666666665,1.353333333333333,0.1383333333333333,0.15937618306235884,0.0,0.8679674131686782,0.3864576630444326,0.6551581434437472,mua,155.1,10.3,False,ON>OFF,False
67,amp100_freq10,200,0.5266666666666666,0.495,0.03166666666666666,0.07146069111121643,0.0,0.4431340667750173,0.6581501179617105,0.8276711447025287,mua,144.3,9.4,False,ON>OFF,False
68,amp100_freq10,200,0.5216666666666666,0.5533333333333332,-0.03166666666666667,0.0645647498524266,0.0,-0.4904637087427128,0.6243461575974912,0.8115490601387159,mua,154.4,9.5,False,ON<OFF,False
69,amp100_freq10,200,2.931666666666666,2.8216666666666668,0.11,0.16790345129237383,0.33333333333333304,0.6551384093258135,0.513135230561762,0.7572280430920636,good,19.3,11.5,True,ON>OFF,False
