trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
1,amp250_freq10,250,10,2786.780025,2789.780025,2786.780025,2789.780025,2789.780025,2792.780025
2,amp100_freq10,100,10,2792.780025,2795.780025,2792.780025,2795.780025,2795.780025,2798.780025
3,amp180_freq26,180,26,2798.780025,2801.780025,2798.780025,2801.780025,2801.780025,2804.780025
4,amp180_freq10,180,10,2804.780025,2807.780025,2804.780025,2807.780025,2807.780025,2810.780025
5,amp180_freq5,180,5,2810.780025,2813.780025,2810.780025,2813.780025,2813.780025,2816.780025
6,amp250_freq26,250,26,2816.780025,2819.780025,2816.780025,2819.780025,2819.780025,2822.780025
7,amp250_freq26,250,26,2822.780025,2825.780025,2822.780025,2825.780025,2825.780025,2828.780025
8,amp100_freq5,100,5,2828.780025,2831.780025,2828.780025,2831.780025,2831.780025,2834.780025
9,amp250_freq5,250,5,2834.780025,2837.780025,2834.780025,2837.780025,2837.780025,2840.780025
10,amp100_freq5,100,5,2840.780025,2843.780025,2840.780025,2843.780025,2843.780025,2846.780025
11,amp100_freq26,100,26,2846.780025,2849.780025,2846.780025,2849.780025,2849.780025,2852.780025
12,amp100_freq5,100,5,2852.780025,2855.780025,2852.780025,2855.780025,2855.780025,2858.780025
13,amp250_freq50,250,50,2858.780025,2861.780025,2858.780025,2861.780025,2861.780025,2864.780025
14,amp100_freq10,100,10,2864.780025,2867.780025,2864.780025,2867.780025,2867.780025,2870.780025
15,amp100_freq26,100,26,2870.780025,2873.780025,2870.780025,2873.780025,2873.780025,2876.780025
16,amp180_freq10,180,10,2876.780025,2879.780025,2876.780025,2879.780025,2879.780025,2882.780025
17,amp180_freq10,180,10,2882.780025,2885.780025,2882.780025,2885.780025,2885.780025,2888.780025
18,amp180_freq10,180,10,2888.780025,2891.780025,2888.780025,2891.780025,2891.780025,2894.780025
19,amp100_freq5,100,5,2894.780025,2897.780025,2894.780025,2897.780025,2897.780025,2900.780025
20,amp250_freq10,250,10,2900.780025,2903.780025,2900.780025,2903.780025,2903.780025,2906.780025
21,amp180_freq10,180,10,2906.780025,2909.780025,2906.780025,2909.780025,2909.780025,2912.780025
22,amp100_freq50,100,50,2912.780025,2915.780025,2912.780025,2915.780025,2915.780025,2918.780025
23,amp100_freq50,100,50,2918.780025,2921.780025,2918.780025,2921.780025,2921.780025,2924.780025
24,amp180_freq5,180,5,2924.780025,2927.780025,2924.780025,2927.780025,2927.780025,2930.780025
25,amp250_freq10,250,10,2930.780025,2933.780025,2930.780025,2933.780025,2933.780025,2936.780025
26,amp100_freq5,100,5,2936.780025,2939.780025,2936.780025,2939.780025,2939.780025,2942.780025
27,amp100_freq10,100,10,2942.780025,2945.780025,2942.780025,2945.780025,2945.780025,2948.780025
28,amp100_freq50,100,50,2948.780025,2951.780025,2948.780025,2951.780025,2951.780025,2954.780025
29,amp180_freq50,180,50,2954.780025,2957.780025,2954.780025,2957.780025,2957.780025,2960.780025
30,amp250_freq10,250,10,2960.780025,2963.780025,2960.780025,2963.780025,2963.780025,2966.780025
31,amp100_freq10,100,10,2966.780025,2969.780025,2966.780025,2969.780025,2969.780025,2972.780025
32,amp250_freq50,250,50,2972.780025,2975.780025,2972.780025,2975.780025,2975.780025,2978.780025
33,amp250_freq26,250,26,2978.780025,2981.780025,2978.780025,2981.780025,2981.780025,2984.780025
34,amp180_freq50,180,50,2984.780025,2987.780025,2984.780025,2987.780025,2987.780025,2990.780025
35,amp180_freq26,180,26,2990.780025,2993.780025,2990.780025,2993.780025,2993.780025,2996.780025
36,amp100_freq10,100,10,2996.780025,2999.780025,2996.780025,2999.780025,2999.780025,3002.780025
37,amp100_freq50,100,50,3002.780025,3005.780025,3002.780025,3005.780025,3005.780025,3008.780025
38,amp180_freq5,180,5,3008.780025,3011.780025,3008.780025,3011.780025,3011.780025,3014.780025
39,amp100_freq26,100,26,3014.780025,3017.780025,3014.780025,3017.780025,3017.780025,3020.780025
