condition,amplitude,frequency,n_trials,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq5,100,5,200,0.8240278530120848,-2.598106693108877,4.4248999001185085,3.853153109550476,-2.1150379527807233,9.91048960169156,0.06559778239655936,-0.053362767976814725,0.1929320778767957
amp180_freq5,180,5,200,2.7324199151992796,-0.6040925790866218,5.9105558177630035,8.556584149996441,2.5032230347394946,15.370268792112665,-0.0415980865114064,-0.1686487554808813,0.08119372726047099
amp250_freq5,250,5,200,-1.4266475232442222,-5.196585622588794,2.342339023590088,1.4722530825932818,-4.097077935338021,7.418669348120689,-0.007568736090621888,-0.12549905571645484,0.11873595749977027
amp100_freq10,100,10,200,3.235994356473287,-0.03179315149784064,6.45114483944575,3.2376686652501423,-2.2641481523911158,8.641876633763312,-0.11066431171294595,-0.23766804471500091,0.01910673135452293
amp180_freq10,180,10,200,5.835715754826864,2.0006586934328077,9.58668158094088,11.243847549756367,4.518748025814692,18.056788333813348,0.1084762651571473,-0.0043801078096266455,0.2227212878426796
amp250_freq10,250,10,200,-0.6369429779052729,-3.8367631787459064,2.669459497531255,3.5633477226893113,-2.441945162415504,9.879574397802346,0.003331761954298851,-0.13617137602131998,0.13427867742874447
amp100_freq26,100,26,200,1.107642763455709,-2.555887525637945,4.616907476782795,5.18892457485199,-0.934380816062292,11.21541376539071,-0.02862290022214005,-0.13189283690369985,0.0729003075349545
amp180_freq26,180,26,200,-4.2539960432052615,-7.3943700822591785,-1.1348106361627583,5.5977446603775025,-0.25232849057515516,11.665940325339633,-0.026237687374055546,-0.12801585732596982,0.07756195802355784
amp250_freq26,250,26,200,-8.66050711631775,-12.2598462600708,-5.091081932902336,2.5853629350662226,-3.2301329779227577,8.432595323959964,-0.13758959212829341,-0.24767801001759504,-0.032886502841076456
amp100_freq50,100,50,200,-1.854958562850952,-5.103140418569247,1.3365639502604765,7.194554125467937,1.4420962328910831,13.108036598801608,-0.0691030736230234,-0.16238776047481585,0.02132117079563471
amp180_freq50,180,50,200,-13.940871402422585,-17.362312392115594,-10.257291355411214,-7.851787856419881,-13.75950655913353,-2.205878897110622,-0.11977544763365502,-0.21849855199974882,-0.017851143097183515
amp250_freq50,250,50,200,-15.377896463076272,-18.50612700486183,-12.373640008727714,-15.425319018363952,-20.01592183546225,-10.641230859637261,0.07120974721811343,-0.015097012979333701,0.16042160481475837
