condition,amplitude,frequency,analysis_group,n_trials,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp100_freq5,100,5,A_dHPC_0-31,200,0.7605390167236328,-5.3017775936126705,6.675820819854735,-0.09712749481201172,-9.924516052246094,10.530063549995404,0.08215006907110542,-0.11843406049741666,0.26943133661490437
amp100_freq5,100,5,A_dHPC_32-63,200,1.9952423095703125,-4.836282557487487,8.637180197715756,10.358150787353516,-2.717104303359985,24.097349595069876,0.031190083100043012,-0.1810047920334637,0.25905436243594876
amp100_freq5,100,5,A_dHPC_64-95,200,2.1510751342773435,-3.3431001453399656,7.83547156047821,13.16592185974121,3.3577191972732545,23.104266241073603,0.09434707880289878,-0.10561070337737999,0.27563782957140165
amp100_freq5,100,5,A_dHPC_96-127,200,-0.7543106079101562,-4.9140593576431275,3.0344779329299896,2.614683036804199,-4.332875182151794,9.398406827926635,0.02465274909360522,-0.17621763792823902,0.2216496863953233
amp100_freq5,100,5,B_LEC_128-191,200,1.140228271484375,-0.36302251386642453,2.62530914735794,-1.8055648803710938,-4.597652871131897,1.2075768780708303,0.027263729251983927,-0.17360720417001105,0.23454151542333504
amp100_freq5,100,5,B_LEC_192-255,200,-0.34860700607299805,-1.7437956840991973,1.0854862153530118,-1.117144651412964,-3.3811448917388915,1.0989617247581467,0.1339829850597199,-0.11265920540849883,0.37206623953725004
amp180_freq5,180,5,A_dHPC_0-31,200,4.903375282287597,-0.7733917322158813,10.765299335479735,14.658760223388672,3.883968335151672,26.09509448432922,-0.2383764010141906,-0.4389292161936319,-0.03651774218237481
amp180_freq5,180,5,A_dHPC_32-63,200,1.2633697128295898,-5.328070798873902,7.578997224807737,13.208817462921143,0.9343967738151551,26.143897172927844,-0.029071429250413477,-0.24088694826987833,0.17426926206154744
amp180_freq5,180,5,A_dHPC_64-95,200,3.648605613708496,-2.1293492374420167,8.996750253677364,13.185910263061523,3.232631369113922,22.935022933483122,-0.03466267039798807,-0.23972758418016596,0.1701706529021302
amp180_freq5,180,5,A_dHPC_96-127,200,3.2121772384643554,0.004543829917907721,6.44490784549713,8.756870765686035,2.0536271185874937,15.772755342483514,0.10581562295034377,-0.09546141159506775,0.3045533384047228
amp180_freq5,180,5,B_LEC_128-191,200,2.5072266387939455,1.138965585708618,3.876039261817932,2.235823459625244,-0.972416124343872,5.4881217350959774,-0.0071783582541578815,-0.21233333046468517,0.2075617803739142
amp180_freq5,180,5,B_LEC_192-255,200,0.8597650051116943,-0.5280172176361083,2.2520824351310726,-0.7066772747039795,-3.105088249206543,1.8489713637828817,-0.046115283102032105,-0.30650343566163013,0.22470262261718
amp250_freq5,250,5,A_dHPC_0-31,200,-3.2596907806396485,-9.884978141784668,3.506184877395623,-3.0795290756225584,-13.125486760139465,7.75343801021575,0.08124425778744383,-0.1255733909165951,0.28519467963990325
amp250_freq5,250,5,A_dHPC_32-63,200,-1.1507908248901366,-8.270698355674744,5.6526743965148905,6.037239589691162,-6.587786849021911,18.24240992879867,-0.02756363396243354,-0.26186377254650656,0.1996697016351377
amp250_freq5,250,5,A_dHPC_64-95,200,-5.125811843872071,-11.559127332687378,0.9873793354034376,-1.9087546348571778,-11.460596033096314,7.557384433269496,-0.15646057134193414,-0.35069815969509793,0.03920895535598846
amp250_freq5,250,5,A_dHPC_96-127,200,0.1098990249633789,-3.655351716995239,4.017271245002744,7.735668163299561,1.097112386226654,15.11948675870895,-0.00220305685120171,-0.20267095112846428,0.195459284600149
amp250_freq5,250,5,B_LEC_128-191,200,1.236907615661621,-0.12113061237335204,2.437715297222136,0.4896488571166992,-2.3619566597938535,3.4575911936759938,0.04797486228783528,-0.15511193798121295,0.23780795458972206
amp250_freq5,250,5,B_LEC_192-255,200,-0.37039833068847655,-1.6332795581817627,0.9614449849128718,-0.44075440406799316,-3.040536439418793,2.411505429267883,0.011595725536558825,-0.18908865898669683,0.22238503575593285
amp100_freq10,100,10,A_dHPC_0-31,200,2.4131541061401367,-3.6311656522750857,8.265154459953305,1.0595137786865234,-8.929133600234984,11.07537130451202,-0.10956009443708242,-0.31666768066540524,0.10367838562687705
amp100_freq10,100,10,A_dHPC_32-63,200,7.544415473937988,0.7667438526153565,14.101170383453365,6.6976050186157225,-4.59347425365448,18.092021276473993,-0.08744373622919137,-0.30844070268656804,0.12530543959230497
amp100_freq10,100,10,A_dHPC_64-95,200,2.5142518615722658,-2.626940941810608,7.55278183364868,-1.0283447456359864,-10.196310504436493,8.503578876018516,-0.07401866567296107,-0.2880306592604776,0.14997613549332775
amp100_freq10,100,10,A_dHPC_96-127,200,3.413855514526367,-0.14406645488739014,6.887371623039241,7.173909397125244,0.9686160016059875,13.387330604553222,-0.13843751165308948,-0.32770615171222917,0.054464029257493905
amp100_freq10,100,10,B_LEC_128-191,200,2.1533180618286134,0.7638788795471192,3.4987893605232228,3.0662724685668947,-0.2842755117416382,6.433926005363463,-0.1655213084322701,-0.3558336397547561,0.019050385249304674
amp100_freq10,100,10,B_LEC_192-255,200,1.3769711208343507,0.20595128536224366,2.5854339320659623,2.457056074142456,0.044960426807403565,4.978021468400951,-0.0890045538530812,-0.3117124170078834,0.11291251474324868
amp180_freq10,180,10,A_dHPC_0-31,200,11.174784240722657,4.31230747795105,17.961918771743765,21.5814937210083,9.339780010223388,34.20806873321531,0.151308281822916,-0.07748228004276927,0.36475148261854484
amp180_freq10,180,10,A_dHPC_32-63,200,9.520567703247071,2.729510838508606,16.617943789482116,13.929773197174072,-0.397817575931549,28.72271246194839,0.2538869101612395,0.05336143790908773,0.4564037376602581
amp180_freq10,180,10,A_dHPC_64-95,200,5.585477180480957,-0.539449501991272,11.635717258453369,15.48191951751709,5.398985013008118,26.590109313964838,0.09228462522560126,-0.12136731876031702,0.30000073441106595
amp180_freq10,180,10,A_dHPC_96-127,200,5.920182189941406,1.698499056816101,9.984250370979305,13.385957221984864,5.251921064376831,21.769286051273344,0.17876969840089585,-0.011897283259706395,0.3648692977002202
amp180_freq10,180,10,B_LEC_128-191,200,1.0486649513244628,-0.31591760206222536,2.521961308956146,0.5503118896484375,-2.7704436478614807,3.8832272119522093,0.0003757215079157028,-0.19239862561047866,0.20414019359561772
amp180_freq10,180,10,B_LEC_192-255,200,1.764618263244629,0.4028597273826599,3.098394197702407,2.5336297512054444,-0.25685441040992735,5.425666472196578,-0.02576764617568448,-0.24436012416000324,0.18859851919806792
amp250_freq10,250,10,A_dHPC_0-31,200,-0.7922398376464844,-7.307718444824219,5.469321996688841,4.382544784545899,-7.9817663803100585,16.282600270271278,0.030698515661272897,-0.17863560196988074,0.23941338520585248
amp250_freq10,250,10,A_dHPC_32-63,200,-4.580134010314941,-10.618099966049195,1.1823003129959044,-0.6940932083129883,-12.540537404060363,11.182296592712397,-0.09006742439115278,-0.3266959302413115,0.14438878787812573
amp250_freq10,250,10,A_dHPC_64-95,200,-0.6233285522460937,-6.131684938430786,4.736082189559935,10.046043205261231,0.38691942501068116,20.74345576286316,-0.023817175870837357,-0.24359062117208916,0.19094578656434352
amp250_freq10,250,10,A_dHPC_96-127,200,0.22716575622558594,-3.7250936374664305,4.051614390373228,5.782727298736572,-1.2481775875091552,13.178557906627653,0.08284671316190163,-0.14413632405944113,0.30735322200137255
amp250_freq10,250,10,B_LEC_128-191,200,0.6601494789123535,-0.9240500841140747,2.1773755021095273,2.442939281463623,-0.5315318708419801,5.447173447608947,0.09034694641746065,-0.08980371097474836,0.27291378780764275
amp250_freq10,250,10,B_LEC_192-255,200,1.2867292976379394,-0.27750312495231627,2.7869180741310116,-0.5800750255584717,-2.8935367138385772,1.8185357296466826,-0.07001700325285191,-0.29967972958707056,0.16223680050059064
amp100_freq26,100,26,A_dHPC_0-31,200,1.3450795364379884,-5.181092267036439,7.714936224937433,8.751681022644043,-1.8224252834320067,19.02278033924102,-0.051414458472884624,-0.24758962007487073,0.15809812066693685
amp100_freq26,100,26,A_dHPC_32-63,200,0.852222785949707,-6.671844799995423,8.229277528762813,10.637001304626464,-2.831141659736633,24.22742721939087,0.012672203281486443,-0.20025912960880835,0.2317605691921534
amp100_freq26,100,26,A_dHPC_64-95,200,0.6150376129150391,-5.273399560928344,6.377355958938597,5.443749771118164,-4.898458932876586,15.439339503288268,0.021660909163291518,-0.1616155395097384,0.19627027334831681
amp100_freq26,100,26,A_dHPC_96-127,200,2.4097048950195314,-1.5669767389297484,6.467018421173092,5.776440448760987,-0.7247110748291016,12.708950680255887,-0.17623812097650363,-0.36077008311051373,0.01698654232175355
amp100_freq26,100,26,B_LEC_128-191,200,1.3940056800842284,0.13626511383056641,2.630833455085752,-0.49271751403808595,-3.264802222251892,2.260514319419858,0.051250088107186995,-0.13144531410138857,0.22876526340378542
amp100_freq26,100,26,B_LEC_192-255,200,0.02980607032775879,-1.449514845609665,1.4372051727771755,1.0173924160003662,-1.7873302209377289,3.8908957691192625,-0.02966802243541704,-0.23684804914219373,0.17748259388259807
amp180_freq26,180,26,A_dHPC_0-31,200,-8.805960884094238,-14.937852153778076,-3.2210500202179038,8.349264793395996,-2.0274656982421875,19.189954015731807,-0.11173205648392834,-0.32132581663909754,0.09728646995292624
amp180_freq26,180,26,A_dHPC_32-63,200,-7.6352876281738284,-14.067525914192199,-1.2310244283676148,14.255968074798584,1.7020387144088747,27.012910646438584,0.04369712352717845,-0.16943433503211203,0.25426135021973034
amp180_freq26,180,26,A_dHPC_64-95,200,-6.639105567932129,-12.1338628988266,-1.1402299928665256,4.337386245727539,-5.443730139732361,13.7540179233551,-0.05188441560765166,-0.23945579413872947,0.13816773267447593
amp180_freq26,180,26,A_dHPC_96-127,200,-2.404345016479492,-6.01163219165802,1.0200810413360581,7.323050689697266,0.17687361240386973,15.076534288883208,-0.0822204536362347,-0.27025220981652076,0.11153480677567032
amp180_freq26,180,26,B_LEC_128-191,200,-0.06358882904052734,-1.688742841720581,1.464152508258818,0.12950487136840821,-2.7067631855010985,2.9895534777641286,0.020071183254267874,-0.1564301699752631,0.2043641954376513
amp180_freq26,180,26,B_LEC_192-255,200,0.024311666488647462,-1.516878099679947,1.646961664915084,-0.8087067127227783,-3.2980434110164643,1.5818442683219878,0.024642494702035105,-0.18027422526665035,0.21843856241151205
amp250_freq26,250,26,A_dHPC_0-31,200,-18.53080997467041,-25.100003100395202,-11.906451492309575,5.391216716766357,-5.590543407440185,16.397128983974454,-0.34818570157936135,-0.5528323504022686,-0.14732925486427115
amp250_freq26,250,26,A_dHPC_32-63,200,-14.95932373046875,-22.108215145111085,-7.671594466209417,0.3902993011474609,-11.321537182331086,13.006982416152953,-0.2084350870961638,-0.4314671579304964,0.001972514807333948
amp250_freq26,250,26,A_dHPC_64-95,200,-12.516445236206055,-18.02738729095459,-7.029495113372803,2.690985851287842,-6.630506656646729,12.943829732418056,-0.39917713903598717,-0.6051856863368698,-0.20416341399644408
amp250_freq26,250,26,A_dHPC_96-127,200,-6.598757133483887,-10.461003540039062,-2.9090331459045413,4.668842658996582,-1.3032303075790406,10.39256015062332,-0.15207655925923402,-0.34244447489946206,0.03130808479738176
amp250_freq26,250,26,B_LEC_128-191,200,-0.3604530143737793,-1.7303359050750733,1.0153418383598318,0.5476380729675293,-2.588870304584503,3.751332954406732,0.11986070631333323,-0.04272877934060623,0.29097999537621017
amp250_freq26,250,26,B_LEC_192-255,200,1.0027463912963868,-0.34983177042007446,2.2390464813709254,1.8231950092315674,-0.45059175467491147,4.259000605821608,0.16247622788765267,-0.03479474730733144,0.3476617715919562
amp100_freq50,100,50,A_dHPC_0-31,200,-5.381403503417968,-11.710641304016114,0.9180766887664747,12.066627922058105,1.8905189390182495,22.616523870468118,-0.21799463298644597,-0.4205307520592971,-0.03466588472723679
amp100_freq50,100,50,A_dHPC_32-63,200,-0.9516103744506836,-7.626743991851806,5.299093671798704,13.513696250915528,0.5128413200378421,27.086257786750775,-0.21616220967219696,-0.40251289897353815,-0.023044725616718262
amp100_freq50,100,50,A_dHPC_64-95,200,-3.8429489517211914,-9.14612691783905,1.4794173469543455,6.254733772277832,-2.8034261875152584,16.202691283226013,-0.1899240976835344,-0.40775459417614673,0.0275872717782966
amp100_freq50,100,50,A_dHPC_96-127,200,-1.7229844665527343,-5.308490286827087,1.9625799770355177,12.766710319519042,5.626119912147522,20.509368840694428,-0.12265302264529832,-0.2971120031689862,0.044418911150422964
amp100_freq50,100,50,B_LEC_128-191,200,-0.06139337539672852,-1.6201740589141846,1.4317355489730823,-1.1759386444091797,-4.5540633869171145,2.2286203627586274,-0.02293849658676766,-0.2141127748801452,0.16715200740201935
amp100_freq50,100,50,B_LEC_192-255,200,0.8305892944335938,-0.41052131080627435,2.14032528233528,-0.25850486755371094,-2.3837978744506834,2.0543904323577875,0.35505401783610296,0.16192347281019248,0.5549740263907058
amp180_freq50,180,50,A_dHPC_0-31,200,-26.041501541137695,-32.70210435676575,-19.65432083511353,-12.781075973510742,-23.094460440635682,-2.3664806776046774,-0.3592216918204479,-0.5432047409405472,-0.1738395714087964
amp180_freq50,180,50,A_dHPC_32-63,200,-25.933042907714842,-32.673115140914916,-18.826290386199954,-13.772410850524903,-25.502038918495177,-1.8399009675979643,-0.38485399923753755,-0.5881273639833303,-0.18401169790003274
amp180_freq50,180,50,A_dHPC_64-95,200,-20.653307609558105,-26.54434602642059,-15.275919319152834,-14.667320442199706,-23.35624720668793,-5.498069992065438,-0.2310377531067836,-0.4214296470941043,-0.04462122919176859
amp180_freq50,180,50,A_dHPC_96-127,200,-12.661615753173828,-16.671524775505066,-8.88491812896729,-5.109288902282715,-12.571923617362975,2.3888724336624105,-0.3086020262097573,-0.49271087435630795,-0.1308166004426644
amp180_freq50,180,50,B_LEC_128-191,200,-0.3451633834838867,-1.8415416116714476,1.0364631543159475,-1.4966676712036133,-4.19095023059845,1.2242009582519526,0.08241102960426085,-0.10830404407996717,0.2816283833476801
amp180_freq50,180,50,B_LEC_192-255,200,1.989402780532837,0.63483806681633,3.2756122486591326,0.7160367012023926,-1.6226620028018952,3.077817024946207,0.4826517549683354,0.28460772371254306,0.6710962620531157
amp250_freq50,250,50,A_dHPC_0-31,200,-27.679089126586913,-33.82186791610718,-21.987693814277648,-27.712568168640136,-36.41216446685791,-18.66397137260439,-0.27064108114771007,-0.46212954747026597,-0.08016356421690767
amp250_freq50,250,50,A_dHPC_32-63,200,-34.83272380828858,-41.32718904876709,-28.106779324531555,-28.507289810180666,-39.36617221260071,-17.405088021278388,-0.32414424921308055,-0.4974125762684717,-0.14787281093623153
amp250_freq50,250,50,A_dHPC_64-95,200,-21.31785762786865,-26.318126093864443,-16.465913749694828,-27.28056022644043,-35.002580016136164,-19.79567251825333,0.011223289284493107,-0.17533973447541668,0.20120410201066238
amp250_freq50,250,50,A_dHPC_96-127,200,-11.51804714202881,-14.667140241622924,-8.293749445915223,-9.849928798675537,-15.207549189090729,-4.3334365262985255,-0.23321040495021378,-0.42140907006059375,-0.05859586755405758
amp250_freq50,250,50,B_LEC_128-191,200,-0.7549861145019531,-2.0147210602760315,0.48019649171829154,-2.1650968170166016,-4.8355864820480345,0.4291631102561927,0.4133871348974503,0.2396100915332768,0.6057975061516866
amp250_freq50,250,50,B_LEC_192-255,200,3.8353250408172608,2.6111727941036222,5.080437488317489,2.963529710769653,0.6049078526496887,5.464401722669601,0.8306437944377416,0.636475667597126,1.0075702127312014
